run,best_fit,runtime_sec,conv_gen_1pct
1,7293,0.33691230000113137,68
2,7569,0.3037021000054665,38
3,7293,0.27766360000532586,61
4,7569,0.2608450999978231,73
5,7293,0.2755665000004228,25
6,7310,0.2547508999996353,34
7,7653,0.26519990000815596,19
8,7293,0.2915925999986939,31
9,7293,0.27928799999062903,203
10,7293,0.2804891999985557,163
11,7293,0.2476077999890549,57
12,7890,0.8313347999937832,40
13,7293,0.24860059999627993,130
14,7569,0.26392300000588875,82
15,7647,0.3326069000031566,16
16,7569,0.26635380000516307,12
17,7569,0.3016873000015039,24
18,7293,0.29254140000557527,261
19,7622,0.27880449999065604,26
20,7622,0.2759520999970846,28
21,7318,0.2725969000020996,83
22,8028,0.266536899987841,24
23,7293,0.2823859000054654,15
24,7310,0.2724462000041967,74
25,7310,0.2538590999902226,54
26,7569,0.29158400000596885,28
27,7653,0.3516901999973925,35
28,7657,0.32234659999085125,32
29,7293,0.2881821999908425,62
30,7293,0.3644285999907879,35
